Date,RegionName,InventorySeasonallyAdjusted_AllHomes,InventoryRaw_AllHomes,MedianListingPricePerSqft_1Bedroom,MedianListingPricePerSqft_2Bedroom,MedianListingPricePerSqft_3Bedroom,MedianListingPricePerSqft_4Bedroom,MedianListingPricePerSqft_5BedroomOrMore,MedianListingPricePerSqft_AllHomes,MedianListingPricePerSqft_CondoCoop,MedianListingPricePerSqft_DuplexTriplex,MedianListingPricePerSqft_SingleFamilyResidence,MedianListingPrice_1Bedroom,MedianListingPrice_2Bedroom,MedianListingPrice_3Bedroom,MedianListingPrice_4Bedroom,MedianListingPrice_5BedroomOrMore,MedianListingPrice_AllHomes,MedianListingPrice_CondoCoop,MedianListingPrice_DuplexTriplex,MedianListingPrice_SingleFamilyResidence,MedianPctOfPriceReduction_AllHomes,MedianPctOfPriceReduction_CondoCoop,MedianPctOfPriceReduction_SingleFamilyResidence,MedianPriceCutDollar_AllHomes,MedianPriceCutDollar_CondoCoop,MedianPriceCutDollar_SingleFamilyResidence,MedianRentalPricePerSqft_1Bedroom,MedianRentalPricePerSqft_2Bedroom,MedianRentalPricePerSqft_3Bedroom,MedianRentalPricePerSqft_4Bedroom,MedianRentalPricePerSqft_5BedroomOrMore,MedianRentalPricePerSqft_AllHomes,MedianRentalPricePerSqft_CondoCoop,MedianRentalPricePerSqft_DuplexTriplex,MedianRentalPricePerSqft_MultiFamilyResidence5PlusUnits,MedianRentalPricePerSqft_SingleFamilyResidence,MedianRentalPricePerSqft_Studio,MedianRentalPrice_1Bedroom,MedianRentalPrice_2Bedroom,MedianRentalPrice_3Bedroom,MedianRentalPrice_4Bedroom,MedianRentalPrice_5BedroomOrMore,MedianRentalPrice_AllHomes,MedianRentalPrice_CondoCoop,MedianRentalPrice_DuplexTriplex,MedianRentalPrice_MultiFamilyResidence5PlusUnits,MedianRentalPrice_SingleFamilyResidence,MedianRentalPrice_Studio,ZHVIPerSqft_AllHomes,PctOfHomesDecreasingInValues_AllHomes,PctOfHomesIncreasingInValues_AllHomes,PctOfHomesSellingForGain_AllHomes,PctOfHomesSellingForLoss_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_AllHomes,PctOfListingsWithPriceReductionsSeasAdj_CondoCoop,PctOfListingsWithPriceReductionsSeasAdj_SingleFamilyResidence,PctOfListingsWithPriceReductions_AllHomes,PctOfListingsWithPriceReductions_CondoCoop,PctOfListingsWithPriceReductions_SingleFamilyResidence,PriceToRentRatio_AllHomes,Sale_Counts,Sale_Counts_Seas_Adj,Sale_Prices,ZHVI_1bedroom,ZHVI_2bedroom,ZHVI_3bedroom,ZHVI_4bedroom,ZHVI_5BedroomOrMore,ZHVI_AllHomes,ZHVI_BottomTier,ZHVI_CondoCoop,ZHVI_MiddleTier,ZHVI_SingleFamilyResidence,ZHVI_TopTier,ZRI_AllHomes,ZRI_AllHomesPlusMultifamily,ZriPerSqft_AllHomes,Zri_MultiFamilyResidenceRental,Zri_SingleFamilyResidenceRental
1996-04-30,blawnoxalleghenypa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,46000,64500,,,56800,,,56800,58000,81300,,,,,
1996-04-30,blissfieldlenaweemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,63400,81500,87900,97700,78900,58000,,78900,78900,119900,,,,,
1996-04-30,bloomerchippewawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,88400,,,85700,67100,,85700,85700,119000,,,,,
1996-04-30,bloomfield_hillsoaklandmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108,,,,,,,,,,,,,,,61500,117800,215800,315100,528700,270000,170000,171300,270000,299500,541900,,,,,
1996-04-30,bloomfieldessexnj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,72000,89700,131700,142600,143000,131900,104400,,131900,133900,157600,,,,,
1996-04-30,bloomfieldgreenein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64700,,,62100,,,62100,62100,,,,,,
1996-04-30,bloomfieldhartfordct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,,85400,109900,136200,,109700,76200,,109700,111000,166800,,,,,
1996-04-30,bloomfieldnelsonky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107100,,,,,
1996-04-30,bloomfieldsan_juannm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,163900,,,188000,,,188000,188000,241500,,,,,
1996-04-30,bloomfieldwalworthwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104100,,,,,,
1996-04-30,blooming_prairiesteelemn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63100,,88100,,,,,,,111800,,,,,
1996-04-30,bloomingdalechathamga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,,68000,,,76600,54600,,76600,76600,106100,,,,,
1996-04-30,bloomingdaledu_pageil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,77500,126200,168000,217800,309100,170400,108000,91900,170400,182400,232200,,,,,
1996-04-30,bloomingdalepassaicnj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,141300,,,143100,127000,,143100,143200,161000,,,,,
1996-04-30,bloomingdalevan_burenmi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,bloomingtonhennepinmn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,69200,91600,112900,137700,155900,113500,86700,90800,113500,119400,157600,,,,,
1996-04-30,bloomingtonmcleanil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,61500,68500,103700,166300,199100,106400,61400,81700,106400,108800,181600,,,,,
1996-04-30,bloomingtonmonroein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65,,,,,,,,,,,,,,,63500,73200,98600,158500,,95400,66500,78700,95400,104700,163100,,,,,
1996-04-30,bloomingtonsan_bernardinoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,62000,83100,116100,138100,84300,63100,,84300,84300,,,,,,
1996-04-30,bloomsburgcolumbiapa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59400,,,57800,46000,,57800,57800,76800,,,,,
1996-04-30,bloomsburyhunterdonnj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,,,,,163700,132000,,163700,163700,220600,,,,,
1996-04-30,bloomvillesenecaoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,70200,,,67200,45300,,67200,67200,107000,,,,,
1996-04-30,blountsvilleblountal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53000,,,53000,53000,95300,,,,,
1996-04-30,blountvillesullivantn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,85500,,,78400,50500,72800,78400,78900,143500,,,,,
1996-04-30,blowing_rockwatauganc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,,,,,,,,,,,,,,,,125000,172300,246400,,160000,80500,158400,160000,160700,,,,,,
1996-04-30,blue_ashhamiltonoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,,,,,,,,,,,,,,,96500,118000,,232400,124600,84200,122000,124600,126400,230900,,,,,
1996-04-30,blue_bellmontgomerypa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,163600,178700,239700,346700,207400,158700,,207400,217200,324500,,,,,
1996-04-30,blue_earthfaribaultmn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,blue_grassscottia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,108800,114600,152900,,112700,80200,,112700,113300,,,,,,
1996-04-30,blue_islandcookil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,76300,87400,91700,,84700,,81600,84700,85400,106900,,,,,
1996-04-30,blue_moundmaconil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79700,,,,,
1996-04-30,blue_ridge_manorjeffersonky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,100300,,,98600,84500,94000,98600,125100,123500,,,,,
1996-04-30,blue_ridgebotetourtva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,68300,103900,114800,,96400,,,96400,96400,142900,,,,,
1996-04-30,bluefieldtazewellva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,35100,62800,,34000,,,34000,34100,64500,,,,,
1996-04-30,bluff_citysullivantn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,,,,,,,,,,,,,,,,,80800,,,73100,46400,,73100,73100,131900,,,,,
1996-04-30,bluffdalesalt_lakeut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120800,,,,,,,,
1996-04-30,blufftonallenoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,67400,94200,100900,,91800,61200,,91800,92000,128100,,,,,
1996-04-30,blufftonbeaufortsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,,228600,282300,,,,,,251900,,,,,
1996-04-30,blufftonwellsin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,,,,,,,,,,,,,,,,50700,64400,,,62600,48400,,62600,62100,,,,,,
1996-04-30,blytheriversideca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80700,97200,,,,,,,,,,,,
1996-04-30,blythewoodrichlandsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,112600,162600,,132800,82900,,132800,132800,194600,,,,,
1996-04-30,boalsburgcentrepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,,107300,170800,,,84800,,,,,,,,,
1996-04-30,boardmanmahoningoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,62900,82900,134200,143600,83600,61300,88600,83600,83500,131100,,,,,
1996-04-30,boca_ratonpalm_beachfl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,40500,78900,144800,225600,420600,132200,70200,87600,132200,184700,276500,,,,,
1996-04-30,bodega_baysonomaca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147900,,,,311000,,,,,
1996-04-30,bogartclarkega,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,,98200,166500,,111800,65200,,111800,112200,192700,,,,,
1996-04-30,boggs_townshipcentrepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,,,80100,,,79400,,,79400,79400,97600,,,,,
1996-04-30,boggs_townshipclearfieldpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68500,,,68500,68500,,,,,,
1996-04-30,bogotabergennj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,142000,,,,,,,,,
1996-04-30,bohners_lakeracinewi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98900,159100,,,,,
1996-04-30,boiling_spring_lakesbrunswicknc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,83800,91000,,,91400,68600,,91400,91400,124400,,,,,
1996-04-30,boiling_springsclevelandnc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131000,,,,,
1996-04-30,boiling_springscumberlandpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,,112500,163900,,132000,100400,,132000,132900,173400,,,,,
1996-04-30,boiling_springsspartanburgsc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,61800,90000,114500,139000,90500,71200,,90500,90500,121500,,,,,
1996-04-30,bois_d_arcgreenemo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,86700,,,77700,44500,,77700,77700,,,,,,
1996-04-30,boiseadaid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,,,,,,,,,,,,,,72700,81500,103800,144000,184500,110900,83600,91300,110900,111900,174500,,,,,
1996-04-30,bokchitobryanok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58400,,,,,
1996-04-30,bokeelialeefl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,105700,137000,182500,,113500,70400,109500,113500,120600,184200,,,,,
1996-04-30,bolindaletrumbulloh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,,,,,,,,,,,,,,,,,66900,,,64200,,,64200,63700,76800,,,,,
1996-04-30,bolingbrookwillil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,94600,116200,172700,181100,132100,92800,105900,132100,135200,183500,,,,,
1996-04-30,boltontollandct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,111100,130700,168100,,131500,108200,,131500,131500,181800,,,,,
1996-04-30,boltonwarrenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83,,,,,,,,,,,,,,,,,147400,,,146500,,,146500,146500,,,,,,
1996-04-30,boltonworcesterma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,149100,190600,286000,,236000,141100,,236000,244400,334100,,,,,
1996-04-30,bon_airchesterfieldva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,,,,,,,,,,,,,,,,67100,96700,122500,157000,106900,82800,68200,106900,108900,139900,,,,,
1996-04-30,bon_aquahickmantn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45600,,,45600,45600,,,,,,
1996-04-30,bonairehoustonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,146800,163000,98200,,,98200,98200,151900,,,,,
1996-04-30,bonanzaclaytonga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,,,,,,,,,,,,,,,,,,,,,67900,,,,97500,,,,,
1996-04-30,bonanzaklamathor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70800,,,70800,70800,,,,,,
1996-04-30,bonduelshawanowi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68100,90200,,,,,
1996-04-30,bondurantpolkia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,,,,,,,,,,,,,,,75000,88200,,,88200,68800,,88200,88400,120700,,,,,
1996-04-30,bonfieldkankakeeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73100,,,,,,,,,
1996-04-30,bonhamfannintx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,,,,,,,,,,,,,,,,,55900,,,,,,,,,,,,,
1996-04-30,bonita_springsleefl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,,,,,,114300,170400,,,148600,86100,130200,148600,175200,263900,,,,,
1996-04-30,bonitasan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,124300,193300,232300,301000,217300,,132200,217300,228600,298700,,,,,
1996-04-30,bonneauberkeleysc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,81500,,,65000,,,65000,65000,112300,,,,,
1996-04-30,bonneauvilleadamspa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,,,,,,,,,,,,,,,,92200,128300,,94400,78800,,94400,94400,122800,,,,,
1996-04-30,bonner_springswyandotteks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,53300,81100,97300,,76600,,,76600,76600,97300,,,,,
1996-04-30,bonners_ferryboundaryid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,88800,107200,126800,168900,107200,78800,,107200,107200,171200,,,,,
1996-04-30,bonney_lakepiercewa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,126200,114700,129600,169800,193800,136500,108200,88600,136500,137300,218200,,,,,
1996-04-30,bonocraigheadar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,,,,,,,,,,,,,58000,38600,,58000,58000,86200,,,,,
1996-04-30,bonsallsan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,404000,,,,,
1996-04-30,boonewatauganc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,,,,,,,,,,,,,,,80400,132800,177100,221100,122200,67900,84500,122200,128800,204000,,,,,
1996-04-30,boonsborowashingtonmd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,,,,,,,,,,,,,,118300,166300,,121200,90100,120300,121200,121700,173000,,,,,
1996-04-30,boonton_townshipmorrisnj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,,,,,,,,,,,,,,,,,,,,265700,,221400,265700,272500,415200,,,,,
1996-04-30,boontonmorrisnj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,,,198000,,178900,,,178900,179100,245500,,,,,
1996-04-30,boonvillewarrickin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,74700,108700,,66900,46800,,66900,66900,127800,,,,,
1996-04-30,boothbay_harborlincolnme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63100,,,,,,,,,,,,
1996-04-30,boothwyndelawarepa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,,,,,,,,,,,,,,,,63600,106100,136600,,92400,,,92400,110300,137400,,,,,
1996-04-30,bordentown_townshipburlingtonnj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,,,120400,147100,,117200,93000,99200,117200,121500,153100,,,,,
1996-04-30,borgerhutchinsontx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139500,,,,,
1996-04-30,boringclackamasor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,,,,,,,,,,,,,,,,144700,179500,236300,247300,172400,,,172400,177200,261500,,,,,
1996-04-30,boronkernca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,,,,,,,,,,,,,,48800,,,,,,,,64900,,,,,
1996-04-30,borrego_springssan_diegoca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996-04-30,boscawenmerrimacknh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,,,,,,,77000,88200,101200,,86900,72700,,86900,86900,113800,,,,,
1996-04-30,boscobelgrantwi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102000,80500,,102000,102000,,,,,,
1996-04-30,bosque_farmsvalencianm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,,,,,,,71400,,,,,,,,,
1996-04-30,boston_heightssummitoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,,,,,,,,,,,,,,,,,156600,284000,,223900,119600,,223900,223900,307500,,,,,
1996-04-30,bostonculpeperva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,,,,,,,,,,,123400,,,122000,,,122000,122000,184900,,,,,
1996-04-30,bostonerieny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,,,,,,88100,107400,,,106600,,,106600,106600,158200,,,,,
1996-04-30,bostonsuffolkma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107,,,,,,,,,,,,,,,104900,123900,125800,138500,144400,123100,75800,119400,123100,126900,215300,,,,,
1996-04-30,bothellsnohomishwa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90,,,,,,,,,,,,,,,,123400,163100,202400,226900,169700,134400,132600,169700,179300,234900,,,,,
1996-04-30,botkinsshelbyoh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,,,,,,,81600,,,81400,,,81400,81400,126100,,,,,
1996-04-30,boulder_cityclarknv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,,,,,,,,99900,149200,170800,276700,144000,96300,100600,144000,152900,230300,,,,,
1996-04-30,boulder_creeksanta_cruzca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,,,,,,,,,,,,,,,,162200,200600,,,171900,129200,,171900,173400,238500,,,,,
1996-04-30,boulderboulderco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,,,,,,,,,,,,,,,87300,140900,201400,278200,347000,195300,124600,115300,195300,227600,337400,,,,,
1996-04-30,boulevard_gardensbrowardfl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73600,,,,,
1996-04-30,bound_brooksomersetnj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,,,,,,,,,,,,,,126400,147600,,135100,112100,,135100,135200,181300,,,,,
1996-04-30,bountifuldavisut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,,,,,,109900,133600,142400,188300,141200,117600,111400,141200,144800,219100,,,,,
1996-04-30,bourbonmarshallin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,,,,,,,,,,,,,,,,47800,64600,64200,,61900,,,61900,61900,89000,,,,,
1996-04-30,bourbonnaiskankakeeil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,,,,,,,,,,,,,,,141900,,,103600,,,,,,,,,
1996-04-30,bourgterrebonnela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79900,,,79900,79900,,,,,,
1996-04-30,bournebarnstablema,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,109600,132700,186200,,133800,99000,79000,133800,139500,225300,,,,,
1996-04-30,bovinaoutagamiewi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79600,,,79600,79600,131600,,,,,
