Unique_City_ID,City,County,State_Abbr,Zip,State
avon_parkhighlandsfl,Avon Park,Highlands,FL,33825.0,Florida
ioniaioniami,Ionia,Ionia,MI,48846.0,Michigan
colesburgdelawareia,Colesburg,Delaware,IA,52035.0,Iowa
powhatanpowhatanva,Powhatan,Powhatan,VA,23139.0,Virginia
raglandsaint_clairal,Ragland,Saint Clair,AL,,Alabama
otselicchenangony,Otselic,Chenango,NY,,New York
hamiltonmarional,Hamilton,Marion,AL,35570.0,Alabama
equalitycoosaal,Equality,Coosa,AL,36026.0,Alabama
allenpontotocok,Allen,Pontotoc,OK,74825.0,Oklahoma
east_havennew_havenct,East Haven,New Haven,CT,6512.0,Connecticut
garden_home_whitfordwashingtonor,Garden Home-Whitford,Washington,OR,,Oregon
wye_millstalbotmd,Wye Mills,Talbot,MD,21679.0,Maryland
yelmthurstonwa,Yelm,Thurston,WA,98597.0,Washington
hartlandfreebornmn,Hartland,Freeborn,MN,56042.0,Minnesota
clemonsmarshallia,Clemons,Marshall,IA,50051.0,Iowa
lakesmatanuska_susitnaak,Lakes,Matanuska Susitna,AK,,Alaska
haymarketprince_williamva,Haymarket,Prince William,VA,20169.0,Virginia
wittenbergshawanowi,Wittenberg,Shawano,WI,54499.0,Wisconsin
paeonian_springsloudounva,Paeonian Springs,Loudoun,VA,20129.0,Virginia
rosablountal,Rosa,Blount,AL,,Alabama
marshallvillewayneoh,Marshallville,Wayne,OH,44645.0,Ohio
pavia_townshipbedfordpa,Pavia Township,Bedford,PA,,Pennsylvania
conneautvillecrawfordpa,Conneautville,Crawford,PA,16406.0,Pennsylvania
town_of_brunswickcumberlandme,Town of Brunswick,Cumberland,ME,,Maine
deltavillemiddlesexva,Deltaville,Middlesex,VA,23043.0,Virginia
kohlersheboyganwi,Kohler,Sheboygan,WI,53044.0,Wisconsin
bradgatehumboldtia,Bradgate,Humboldt,IA,50520.0,Iowa
oshtemokalamazoomi,Oshtemo,Kalamazoo,MI,,Michigan
gadsdenrichlandsc,Gadsden,Richland,SC,29052.0,South Carolina
tarrantjeffersonal,Tarrant,Jefferson,AL,,Alabama
lakesidesheridanne,Lakeside,Sheridan,NE,69351.0,Nebraska
combee_settlementpolkfl,Combee Settlement,Polk,FL,,Florida
carol_streamdu_pageil,Carol Stream,Du Page,IL,,Illinois
danvilleyellar,Danville,Yell,AR,72833.0,Arkansas
russellsheboyganwi,Russell,Sheboygan,WI,,Wisconsin
armucheefloydga,Armuchee,Floyd,GA,30105.0,Georgia
adrianbatesmo,Adrian,Bates,MO,64720.0,Missouri
valindalos_angelesca,Valinda,Los Angeles,CA,,California
town_of_black_earthdanewi,Town of Black Earth,Dane,WI,,Wisconsin
springhillwebsterla,Springhill,Webster,LA,71075.0,Louisiana
rosstonnevadaar,Rosston,Nevada,AR,71858.0,Arkansas
homerchampaignil,Homer,Champaign,IL,61849.0,Illinois
clarenceerieny,Clarence,Erie,NY,14031.0,New York
mount_carmelwabashil,Mount Carmel,Wabash,IL,62863.0,Illinois
flemingtonclintonpa,Flemington,Clinton,PA,,Pennsylvania
roanokewoodfordil,Roanoke,Woodford,IL,61561.0,Illinois
new_londonnew_londonct,New London,New London,CT,6320.0,Connecticut
francesvillepulaskiin,Francesville,Pulaski,IN,47946.0,Indiana
millervilledouglasmn,Millerville,Douglas,MN,,Minnesota
smith_villageoklahomaok,Smith Village,Oklahoma,OK,,Oklahoma
town_of_philadelphiajeffersonny,Town of Philadelphia,Jefferson,NY,,New York
brookhavenlincolnms,Brookhaven,Lincoln,MS,39601.0,Mississippi
cachecomancheok,Cache,Comanche,OK,73527.0,Oklahoma
mccurtainhaskellok,McCurtain,Haskell,OK,74944.0,Oklahoma
grantsboropamliconc,Grantsboro,Pamlico,NC,28529.0,North Carolina
jeffersonfrederickmd,Jefferson,Frederick,MD,21755.0,Maryland
camargomontgomeryky,Camargo,Montgomery,KY,,Kentucky
howardfremontco,Howard,Fremont,CO,81233.0,Colorado
viningtamaia,Vining,Tama,IA,52348.0,Iowa
collinsvillede_kalbal,Collinsville,De Kalb,AL,,Alabama
pewamoioniami,Pewamo,Ionia,MI,48873.0,Michigan
